symbol,sector_code,sector_name,source,updated_at
000528,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000529,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000530,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000531,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000532,s91,S91综合,证监会行业分类,2026-07-28
000533,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000534,c27,C27医药制造业,证监会行业分类,2026-07-28
000536,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000537,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000538,c27,C27医药制造业,证监会行业分类,2026-07-28
000539,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000541,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000543,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000544,d46,D46水的生产和供应业,证监会行业分类,2026-07-28
000545,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000546,c42,C42废弃资源综合利用业,证监会行业分类,2026-07-28
000547,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000548,g54,G54道路运输业,证监会行业分类,2026-07-28
000550,c36,C36汽车制造业,证监会行业分类,2026-07-28
000551,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000552,b06,B06煤炭开采和洗选业,证监会行业分类,2026-07-28
000553,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000554,f51,F51批发业,证监会行业分类,2026-07-28
000555,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000557,g53,G53铁路运输业,证监会行业分类,2026-07-28
000558,n78,N78公共设施管理业,证监会行业分类,2026-07-28
000559,c36,C36汽车制造业,证监会行业分类,2026-07-28
000560,k70,K70房地产业,证监会行业分类,2026-07-28
000561,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000563,j69,J69其他金融业,证监会行业分类,2026-07-28
000564,f52,F52零售业,证监会行业分类,2026-07-28
000565,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000566,c27,C27医药制造业,证监会行业分类,2026-07-28
000567,j69,J69其他金融业,证监会行业分类,2026-07-28
000568,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000570,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000571,b06,B06煤炭开采和洗选业,证监会行业分类,2026-07-28
000572,c36,C36汽车制造业,证监会行业分类,2026-07-28
000573,c42,C42废弃资源综合利用业,证监会行业分类,2026-07-28
000576,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000581,c36,C36汽车制造业,证监会行业分类,2026-07-28
000582,g55,G55水上运输业,证监会行业分类,2026-07-28
000586,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000589,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000590,c27,C27医药制造业,证监会行业分类,2026-07-28
000591,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000592,c20,C20木材加工和木、竹、藤、棕、草制品业,证监会行业分类,2026-07-28
000593,d45,D45燃气生产和供应业,证监会行业分类,2026-07-28
000595,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000596,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000597,c27,C27医药制造业,证监会行业分类,2026-07-28
000598,d46,D46水的生产和供应业,证监会行业分类,2026-07-28
000599,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000600,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000601,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000603,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000605,d46,D46水的生产和供应业,证监会行业分类,2026-07-28
000607,l72,L72商务服务业,证监会行业分类,2026-07-28
000608,k70,K70房地产业,证监会行业分类,2026-07-28
000609,s91,S91综合,证监会行业分类,2026-07-28
000610,l72,L72商务服务业,证监会行业分类,2026-07-28
000612,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000615,q84,Q84卫生,证监会行业分类,2026-07-28
000617,j66,J66货币金融服务,证监会行业分类,2026-07-28
000619,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000620,k70,K70房地产业,证监会行业分类,2026-07-28
000623,c27,C27医药制造业,证监会行业分类,2026-07-28
000625,c36,C36汽车制造业,证监会行业分类,2026-07-28
000626,f51,F51批发业,证监会行业分类,2026-07-28
000628,e47,E47房屋建筑业,证监会行业分类,2026-07-28
000629,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000630,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000631,k70,K70房地产业,证监会行业分类,2026-07-28
000632,f51,F51批发业,证监会行业分类,2026-07-28
000633,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000635,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000636,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000637,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000639,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000650,c27,C27医药制造业,证监会行业分类,2026-07-28
000651,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000652,f51,F51批发业,证监会行业分类,2026-07-28
000655,b08,B08黑色金属矿采选业,证监会行业分类,2026-07-28
000656,k70,K70房地产业,证监会行业分类,2026-07-28
000657,c33,C33金属制品业,证监会行业分类,2026-07-28
000659,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000661,c27,C27医药制造业,证监会行业分类,2026-07-28
000663,a02,A02林业,证监会行业分类,2026-07-28
000665,i63,I63电信、广播电视和卫星传输服务,证监会行业分类,2026-07-28
000668,k70,K70房地产业,证监会行业分类,2026-07-28
000669,d45,D45燃气生产和供应业,证监会行业分类,2026-07-28
000670,f51,F51批发业,证监会行业分类,2026-07-28
000672,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000676,l72,L72商务服务业,证监会行业分类,2026-07-28
000677,c17,C17纺织业,证监会行业分类,2026-07-28
000678,c36,C36汽车制造业,证监会行业分类,2026-07-28
000679,f52,F52零售业,证监会行业分类,2026-07-28
000680,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000681,i64,I64互联网和相关服务,证监会行业分类,2026-07-28
000682,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000683,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000685,d46,D46水的生产和供应业,证监会行业分类,2026-07-28
000686,j67,J67资本市场服务,证监会行业分类,2026-07-28
000688,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000690,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000691,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000692,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000695,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000697,c37,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-07-28
000698,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000700,c36,C36汽车制造业,证监会行业分类,2026-07-28
000701,f51,F51批发业,证监会行业分类,2026-07-28
000702,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000703,c28,C28化学纤维制造业,证监会行业分类,2026-07-28
000705,f51,F51批发业,证监会行业分类,2026-07-28
000707,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000708,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000709,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000710,m74,M74专业技术服务业,证监会行业分类,2026-07-28
000711,c42,C42废弃资源综合利用业,证监会行业分类,2026-07-28
000712,j67,J67资本市场服务,证监会行业分类,2026-07-28
000713,a05,A05农、林、牧、渔专业及辅助性活动,证监会行业分类,2026-07-28
000715,f52,F52零售业,证监会行业分类,2026-07-28
000716,c14,C14食品制造业,证监会行业分类,2026-07-28
000717,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000718,k70,K70房地产业,证监会行业分类,2026-07-28
000719,r86,R86新闻和出版业,证监会行业分类,2026-07-28
000720,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000721,h62,H62餐饮业,证监会行业分类,2026-07-28
000722,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000723,c25,C25石油、煤炭及其他燃料加工业,证监会行业分类,2026-07-28
000725,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000726,c17,C17纺织业,证监会行业分类,2026-07-28
000727,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000728,j67,J67资本市场服务,证监会行业分类,2026-07-28
000729,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000731,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000733,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000735,a03,A03畜牧业,证监会行业分类,2026-07-28
000736,k70,K70房地产业,证监会行业分类,2026-07-28
000737,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000738,c37,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-07-28
000739,c27,C27医药制造业,证监会行业分类,2026-07-28
000750,j67,J67资本市场服务,证监会行业分类,2026-07-28
000751,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000752,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000753,f52,F52零售业,证监会行业分类,2026-07-28
000755,g54,G54道路运输业,证监会行业分类,2026-07-28
000756,c27,C27医药制造业,证监会行业分类,2026-07-28
000757,f52,F52零售业,证监会行业分类,2026-07-28
000758,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000759,f52,F52零售业,证监会行业分类,2026-07-28
000761,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000762,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000766,c27,C27医药制造业,证监会行业分类,2026-07-28
000767,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000768,c37,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-07-28
000776,j67,J67资本市场服务,证监会行业分类,2026-07-28
000777,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000778,c33,C33金属制品业,证监会行业分类,2026-07-28
000779,m74,M74专业技术服务业,证监会行业分类,2026-07-28
000782,c28,C28化学纤维制造业,证监会行业分类,2026-07-28
000783,j67,J67资本市场服务,证监会行业分类,2026-07-28
000785,l72,L72商务服务业,证监会行业分类,2026-07-28
000786,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000788,c27,C27医药制造业,证监会行业分类,2026-07-28
000789,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000790,c27,C27医药制造业,证监会行业分类,2026-07-28
000791,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000792,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000793,r86,R86新闻和出版业,证监会行业分类,2026-07-28
000795,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000796,l72,L72商务服务业,证监会行业分类,2026-07-28
000797,k70,K70房地产业,证监会行业分类,2026-07-28
000798,a04,A04渔业,证监会行业分类,2026-07-28
000799,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000800,c36,C36汽车制造业,证监会行业分类,2026-07-28
000801,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000802,r87,R87广播、电视、电影和录音制作业,证监会行业分类,2026-07-28
000803,n77,N77生态保护和环境治理业,证监会行业分类,2026-07-28
000807,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000809,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000810,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000811,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000812,c23,C23印刷和记录媒介复制业,证监会行业分类,2026-07-28
000813,c27,C27医药制造业,证监会行业分类,2026-07-28
000815,c22,C22造纸和纸制品业,证监会行业分类,2026-07-28
000816,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000818,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000819,c25,C25石油、煤炭及其他燃料加工业,证监会行业分类,2026-07-28
000820,m74,M74专业技术服务业,证监会行业分类,2026-07-28
000821,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000822,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000823,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000825,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000826,n78,N78公共设施管理业,证监会行业分类,2026-07-28
000828,g54,G54道路运输业,证监会行业分类,2026-07-28
000829,f51,F51批发业,证监会行业分类,2026-07-28
000830,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000831,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000833,s91,S91综合,证监会行业分类,2026-07-28
000837,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000838,k70,K70房地产业,证监会行业分类,2026-07-28
000839,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000848,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000850,c17,C17纺织业,证监会行业分类,2026-07-28
000852,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000856,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000858,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000859,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000860,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000862,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000863,k70,K70房地产业,证监会行业分类,2026-07-28
000868,c36,C36汽车制造业,证监会行业分类,2026-07-28
000869,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000875,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000876,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000877,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000878,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000880,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000881,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000882,l72,L72商务服务业,证监会行业分类,2026-07-28
000883,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000885,n77,N77生态保护和环境治理业,证监会行业分类,2026-07-28
000886,g54,G54道路运输业,证监会行业分类,2026-07-28
000887,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000888,n78,N78公共设施管理业,证监会行业分类,2026-07-28
000889,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000890,c33,C33金属制品业,证监会行业分类,2026-07-28
000892,r87,R87广播、电视、电影和录音制作业,证监会行业分类,2026-07-28
000893,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000895,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000897,k70,K70房地产业,证监会行业分类,2026-07-28
000898,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000899,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000900,g54,G54道路运输业,证监会行业分类,2026-07-28
000901,c36,C36汽车制造业,证监会行业分类,2026-07-28
000902,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000903,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000905,f51,F51批发业,证监会行业分类,2026-07-28
000906,l72,L72商务服务业,证监会行业分类,2026-07-28
000908,c27,C27医药制造业,证监会行业分类,2026-07-28
000909,k70,K70房地产业,证监会行业分类,2026-07-28
000910,c20,C20木材加工和木、竹、藤、棕、草制品业,证监会行业分类,2026-07-28
000911,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000912,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000913,c37,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-07-28
000915,c27,C27医药制造业,证监会行业分类,2026-07-28
000917,i63,I63电信、广播电视和卫星传输服务,证监会行业分类,2026-07-28
000919,c27,C27医药制造业,证监会行业分类,2026-07-28
000920,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000921,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000922,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000923,b08,B08黑色金属矿采选业,证监会行业分类,2026-07-28
000925,c37,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-07-28
000926,k70,K70房地产业,证监会行业分类,2026-07-28
000927,l72,L72商务服务业,证监会行业分类,2026-07-28
000928,e48,E48土木工程建筑业,证监会行业分类,2026-07-28
000929,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000930,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000931,c27,C27医药制造业,证监会行业分类,2026-07-28
000932,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000933,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000935,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000936,c28,C28化学纤维制造业,证监会行业分类,2026-07-28
000937,b06,B06煤炭开采和洗选业,证监会行业分类,2026-07-28
000938,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000948,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000949,c28,C28化学纤维制造业,证监会行业分类,2026-07-28
000950,f51,F51批发业,证监会行业分类,2026-07-28
000951,c36,C36汽车制造业,证监会行业分类,2026-07-28
000952,c27,C27医药制造业,证监会行业分类,2026-07-28
000953,c27,C27医药制造业,证监会行业分类,2026-07-28
000955,c17,C17纺织业,证监会行业分类,2026-07-28
000957,c36,C36汽车制造业,证监会行业分类,2026-07-28
000958,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000959,c31,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000960,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000962,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000963,f52,F52零售业,证监会行业分类,2026-07-28
000965,k70,K70房地产业,证监会行业分类,2026-07-28
000966,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000967,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000968,b07,B07石油和天然气开采业,证监会行业分类,2026-07-28
000969,c33,C33金属制品业,证监会行业分类,2026-07-28
000970,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000972,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000973,c29,C29橡胶和塑料制品业,证监会行业分类,2026-07-28
000975,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000977,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000978,n78,N78公共设施管理业,证监会行业分类,2026-07-28
000980,c36,C36汽车制造业,证监会行业分类,2026-07-28
000981,c36,C36汽车制造业,证监会行业分类,2026-07-28
000983,b06,B06煤炭开采和洗选业,证监会行业分类,2026-07-28
000985,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000987,j69,J69其他金融业,证监会行业分类,2026-07-28
000988,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000989,c27,C27医药制造业,证监会行业分类,2026-07-28
000990,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000993,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000995,c15,C15酒、饮料和精制茶制造业,证监会行业分类,2026-07-28
000997,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000998,a05,A05农、林、牧、渔专业及辅助性活动,证监会行业分类,2026-07-28
000999,c27,C27医药制造业,证监会行业分类,2026-07-28
001201,a03,A03畜牧业,证监会行业分类,2026-07-28
001202,g58,G58多式联运和运输代理业,证监会行业分类,2026-07-28
001203,b08,B08黑色金属矿采选业,证监会行业分类,2026-07-28
001205,g55,G55水上运输业,证监会行业分类,2026-07-28
001206,c41,C41其他制造业,证监会行业分类,2026-07-28
001207,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
001208,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
001209,c18,C18纺织服装、服饰业,证监会行业分类,2026-07-28
001210,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
001211,c20,C20木材加工和木、竹、藤、棕、草制品业,证监会行业分类,2026-07-28
001212,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
001213,g53,G53铁路运输业,证监会行业分类,2026-07-28
001215,c14,C14食品制造业,证监会行业分类,2026-07-28
001216,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
001217,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
