symbol,sector_code,sector_name,source,updated_at
000001,j66,J66货币金融服务,证监会行业分类,2026-07-28
000002,k70,K70房地产业,证监会行业分类,2026-07-28
000006,k70,K70房地产业,证监会行业分类,2026-07-28
000007,k70,K70房地产业,证监会行业分类,2026-07-28
000008,c37,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2026-07-28
000009,j69,J69其他金融业,证监会行业分类,2026-07-28
000010,e48,E48土木工程建筑业,证监会行业分类,2026-07-28
000011,k70,K70房地产业,证监会行业分类,2026-07-28
000012,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000014,k70,K70房地产业,证监会行业分类,2026-07-28
000016,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000017,c24,C24文教、工美、体育和娱乐用品制造业,证监会行业分类,2026-07-28
000019,f51,F51批发业,证监会行业分类,2026-07-28
000020,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000021,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000025,f51,F51批发业,证监会行业分类,2026-07-28
000026,f52,F52零售业,证监会行业分类,2026-07-28
000027,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000028,f51,F51批发业,证监会行业分类,2026-07-28
000029,k70,K70房地产业,证监会行业分类,2026-07-28
000030,c36,C36汽车制造业,证监会行业分类,2026-07-28
000031,k70,K70房地产业,证监会行业分类,2026-07-28
000032,e49,E49建筑安装业,证监会行业分类,2026-07-28
000034,f51,F51批发业,证监会行业分类,2026-07-28
000035,n77,N77生态保护和环境治理业,证监会行业分类,2026-07-28
000036,k70,K70房地产业,证监会行业分类,2026-07-28
000037,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000039,c33,C33金属制品业,证监会行业分类,2026-07-28
000042,k70,K70房地产业,证监会行业分类,2026-07-28
000045,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000048,a03,A03畜牧业,证监会行业分类,2026-07-28
000049,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000050,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000055,c33,C33金属制品业,证监会行业分类,2026-07-28
000056,l72,L72商务服务业,证监会行业分类,2026-07-28
000058,l72,L72商务服务业,证监会行业分类,2026-07-28
000059,c25,C25石油、煤炭及其他燃料加工业,证监会行业分类,2026-07-28
000060,c32,C32有色金属冶炼和压延加工业,证监会行业分类,2026-07-28
000061,l72,L72商务服务业,证监会行业分类,2026-07-28
000062,f51,F51批发业,证监会行业分类,2026-07-28
000063,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000065,f51,F51批发业,证监会行业分类,2026-07-28
000066,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000068,f51,F51批发业,证监会行业分类,2026-07-28
000069,k70,K70房地产业,证监会行业分类,2026-07-28
000070,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000078,f51,F51批发业,证监会行业分类,2026-07-28
000088,g55,G55水上运输业,证监会行业分类,2026-07-28
000089,g56,G56航空运输业,证监会行业分类,2026-07-28
000090,e48,E48土木工程建筑业,证监会行业分类,2026-07-28
000096,f51,F51批发业,证监会行业分类,2026-07-28
000099,g56,G56航空运输业,证监会行业分类,2026-07-28
000100,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000151,f51,F51批发业,证监会行业分类,2026-07-28
000153,c27,C27医药制造业,证监会行业分类,2026-07-28
000155,d44,D44电力、热力生产和供应业,证监会行业分类,2026-07-28
000156,i63,I63电信、广播电视和卫星传输服务,证监会行业分类,2026-07-28
000157,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000158,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000159,f51,F51批发业,证监会行业分类,2026-07-28
000166,j67,J67资本市场服务,证监会行业分类,2026-07-28
000301,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000333,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000338,c36,C36汽车制造业,证监会行业分类,2026-07-28
000400,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000401,c30,C30非金属矿物制品业,证监会行业分类,2026-07-28
000402,k70,K70房地产业,证监会行业分类,2026-07-28
000403,c27,C27医药制造业,证监会行业分类,2026-07-28
000404,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000407,d45,D45燃气生产和供应业,证监会行业分类,2026-07-28
000408,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000409,i65,I65软件和信息技术服务业,证监会行业分类,2026-07-28
000410,c34,C34通用设备制造业,证监会行业分类,2026-07-28
000411,f51,F51批发业,证监会行业分类,2026-07-28
000415,l71,L71租赁业,证监会行业分类,2026-07-28
000417,f52,F52零售业,证监会行业分类,2026-07-28
000419,f52,F52零售业,证监会行业分类,2026-07-28
000420,c28,C28化学纤维制造业,证监会行业分类,2026-07-28
000421,d45,D45燃气生产和供应业,证监会行业分类,2026-07-28
000422,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000423,c27,C27医药制造业,证监会行业分类,2026-07-28
000425,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000426,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000428,h61,H61住宿业,证监会行业分类,2026-07-28
000429,g54,G54道路运输业,证监会行业分类,2026-07-28
000430,n78,N78公共设施管理业,证监会行业分类,2026-07-28
000488,c22,C22造纸和纸制品业,证监会行业分类,2026-07-28
000498,e48,E48土木工程建筑业,证监会行业分类,2026-07-28
000501,f52,F52零售业,证监会行业分类,2026-07-28
000503,i64,I64互联网和相关服务,证监会行业分类,2026-07-28
000504,m75,M75科技推广和应用服务业,证监会行业分类,2026-07-28
000505,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000506,b09,B09有色金属矿采选业,证监会行业分类,2026-07-28
000507,g55,G55水上运输业,证监会行业分类,2026-07-28
000509,c39,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-28
000510,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000513,c27,C27医药制造业,证监会行业分类,2026-07-28
000514,k70,K70房地产业,证监会行业分类,2026-07-28
000516,q84,Q84卫生,证监会行业分类,2026-07-28
000517,k70,K70房地产业,证监会行业分类,2026-07-28
000518,c27,C27医药制造业,证监会行业分类,2026-07-28
000519,c35,C35专用设备制造业,证监会行业分类,2026-07-28
000520,g55,G55水上运输业,证监会行业分类,2026-07-28
000521,c38,C38电气机械和器材制造业,证监会行业分类,2026-07-28
000523,c13,C13农副食品加工业,证监会行业分类,2026-07-28
000524,l72,L72商务服务业,证监会行业分类,2026-07-28
000525,c26,C26化学原料和化学制品制造业,证监会行业分类,2026-07-28
000526,p83,P83教育,证监会行业分类,2026-07-28
